entry_timing,target_roi,exit_mode,total_pnl,mean_roi,hit_rate,volatility_exits,max_win,max_loss,sharpe_ratio,num_trades
0.2,0.3,VOLATILITY,16.694125785493682,4.079542175316402,0.0,16,49.247047566978985,-13.815081104257471,0.6605156649808361,16
0.2,0.3,EXPIRY,392.69653664323266,4.606215909103098,0.0625,0,446.5650923935358,-8.751796536614737,0.8485722654633913,16
0.2,0.5,VOLATILITY,120.88274561584285,15.709150047861382,0.0,16,128.89384127184877,-34.61214073366461,0.9996807322934057,16
0.2,0.5,EXPIRY,391.5754454136312,4.953975239435941,0.0625,0,461.09053639979214,-10.770527020069606,0.8593323654993671,16
0.2,0.75,VOLATILITY,67.38442133012546,4.0074967124843335,0.0,16,40.132720450877294,-31.741591136549815,1.3471930270757055,16
0.2,0.75,EXPIRY,1437.2394739143235,29.328434774631468,0.125,0,831.7808495284801,-10.13631580440673,1.4254203395732707,16
0.2,1.0,VOLATILITY,344.1355339432357,37.776110649047574,0.0,16,249.0335354664288,-19.909811877357093,1.2568275290509607,16
0.2,1.0,EXPIRY,202.1786956960625,1.7660758604689852,0.0625,0,304.79999153844653,-12.150038441313043,0.6594162262853343,16
0.3,0.3,VOLATILITY,-54.59832069092303,-1.3287844932294646,0.0,16,32.33967684828627,-40.55614361277232,-0.6101126557690553,16
0.3,0.3,EXPIRY,338.72824045668415,3.6781731898229895,0.0625,0,405.4090235960668,-11.166726341916648,0.81202657137711,16
0.3,0.5,VOLATILITY,473.7499692999596,60.08902997576843,0.0,16,277.5949485859646,-19.020415160299944,1.7361853277979606,16
0.3,0.5,EXPIRY,-82.72792639681964,-1.0,0.0,0,-0.5,-9.692944905605724,0.0,16
0.3,0.75,VOLATILITY,28.023513851270522,16.740807891264986,0.0,16,95.372417316168,-37.54310097458512,1.115600664773981,16
0.3,0.75,EXPIRY,-65.28054795053048,-1.0,0.0,0,-0.5,-8.274262424288002,0.0,16
0.3,1.0,VOLATILITY,-54.46739755759715,1.0530735666560243,0.0,16,69.68604125982925,-40.111025891847746,0.22289910199391116,16
0.3,1.0,EXPIRY,-86.67332403045509,-1.0,0.0,0,-0.5,-15.155089387467639,0.0,16
0.4,0.3,VOLATILITY,221.838827174178,21.469282432528157,0.0,16,95.62250660199437,-11.139266594397458,1.6246490228847434,16
0.4,0.3,EXPIRY,-47.23333050116852,-1.0,0.0,0,-0.5,-8.457073647314509,0.0,16
0.4,0.5,VOLATILITY,273.65325548300257,27.267589461507857,0.0,16,122.46449313915261,-15.408307724504251,1.7612621557681214,16
0.4,0.5,EXPIRY,800.9899805122059,19.035317733916703,0.0625,0,869.1687253291003,-10.717906885615916,0.9812468102887285,16
0.4,0.75,VOLATILITY,-108.69171472239216,-2.67335232150329,0.0,16,26.578281395620685,-27.038998237580145,-1.425427295374743,16
0.4,0.75,EXPIRY,140.0358219981586,0.30424906396025,0.0625,0,199.26538421791713,-11.996914186727619,0.2409256719191903,16
0.4,1.0,VOLATILITY,-40.36042100162263,-2.302478583233321,0.0,16,24.113935380990227,-24.727993393859652,-1.254150597782364,16
0.4,1.0,EXPIRY,4911.82863325843,617.8125,0.0625,0,4950.0,-8.638050327229799,1.031126563034315,16
0.5,0.3,VOLATILITY,358.12564348642644,43.042354543071184,0.0,16,168.13972985034363,-23.4513248185923,1.8042875894936676,16
0.5,0.3,EXPIRY,382.49181001198036,4.201604172600207,0.0625,0,429.08057314094407,-8.639282208694118,0.8342422810539329,16
0.5,0.5,VOLATILITY,298.96944371770513,43.0987777868391,0.0,16,246.7602122016752,-39.84799855568605,1.3387746264048899,16
0.5,0.5,EXPIRY,129.08315983144098,0.31969787118277115,0.0625,0,200.6389036653716,-9.793183117185704,0.2501955551991349,16
0.5,0.75,VOLATILITY,194.64815266570778,24.991436724921346,0.0,16,178.4376845423532,-35.0142596993737,1.120280037238316,16
0.5,0.75,EXPIRY,-67.68836519013458,-1.0,0.0,0,-0.5,-10.240750166114013,0.0,16
0.5,1.0,VOLATILITY,244.13044528687445,22.55816247360892,0.0,16,169.08519474757765,-29.256479784694967,1.079404142298469,16
0.5,1.0,EXPIRY,-66.54628093320488,-1.0,0.0,0,-0.5,-10.650511059936479,0.0,16
